,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,datetime_utc,datetime_utc_str,time_str,pos
770,1713703800000,3161.78,3162.8,3159.63,3162.24,818.893,1713703859999,2588520.6551,1356,430.975,1362313.98714,0,2024-04-21 12:50:59.999,2024-04-21 12:50:59.999,12:50,1
771,1713703860000,3162.24,3162.24,3158.16,3158.91,725.134,1713703919999,2290817.04887,2124,318.063,1004614.93567,0,2024-04-21 12:51:59.999,2024-04-21 12:51:59.999,12:51,1
772,1713703920000,3158.91,3159.31,3155.31,3155.9,3058.631,1713703979999,9657361.81658,3753,2067.199,6527637.43216,0,2024-04-21 12:52:59.999,2024-04-21 12:52:59.999,12:52,1
773,1713703980000,3155.9,3159.7,3155.9,3158.9,1560.296,1713704039999,4927734.50241,2314,1080.586,3412379.58641,0,2024-04-21 12:53:59.999,2024-04-21 12:53:59.999,12:53,1
774,1713704040000,3158.91,3158.91,3156.06,3156.07,666.769,1713704099999,2104991.27472,1260,240.373,758800.1832,0,2024-04-21 12:54:59.999,2024-04-21 12:54:59.999,12:54,1
775,1713704100000,3156.06,3156.07,3154.0,3154.23,2007.352,1713704159999,6333012.10221,2449,753.342,2376704.36662,0,2024-04-21 12:55:59.999,2024-04-21 12:55:59.999,12:55,1
776,1713704160000,3154.22,3155.42,3152.58,3154.09,1667.804,1713704219999,5259662.52566,2989,696.049,2195152.26843,0,2024-04-21 12:56:59.999,2024-04-21 12:56:59.999,12:56,1
777,1713704220000,3154.08,3155.55,3153.5,3154.4,1301.809,1713704279999,4106104.99139,1692,930.461,2934763.5788,0,2024-04-21 12:57:59.999,2024-04-21 12:57:59.999,12:57,1
778,1713704280000,3154.41,3158.67,3153.9,3157.64,839.723,1713704339999,2650889.72285,2109,528.968,1669794.36872,0,2024-04-21 12:58:59.999,2024-04-21 12:58:59.999,12:58,1
779,1713704340000,3157.65,3157.65,3155.75,3156.03,462.019,1713704399999,1458453.33946,1114,256.416,809405.32917,0,2024-04-21 12:59:59.999,2024-04-21 12:59:59.999,12:59,1
780,1713704400000,3156.03,3158.45,3155.57,3157.94,762.621,1713704459999,2407412.66504,1635,323.842,1022266.37184,0,2024-04-21 13:00:59.999,2024-04-21 13:00:59.999,13:00,1
781,1713704460000,3157.94,3158.58,3156.76,3157.0,588.053,1713704519999,1856844.9132,1568,332.272,1049174.26808,0,2024-04-21 13:01:59.999,2024-04-21 13:01:59.999,13:01,1
782,1713704520000,3157.0,3157.99,3156.29,3157.84,515.092,1713704579999,1626324.10133,1354,204.634,646093.14191,0,2024-04-21 13:02:59.999,2024-04-21 13:02:59.999,13:02,1
783,1713704580000,3157.85,3157.85,3151.7,3151.88,1842.271,1713704639999,5809040.17139,3159,380.534,1199883.48248,0,2024-04-21 13:03:59.999,2024-04-21 13:03:59.999,13:03,1
784,1713704640000,3151.88,3151.89,3142.35,3145.89,17353.473,1713704699999,54614132.03323,15121,6099.98,19199512.61782,0,2024-04-21 13:04:59.999,2024-04-21 13:04:59.999,13:04,1
785,1713704700000,3145.9,3147.15,3143.01,3147.15,4651.868,1713704759999,14631456.89893,5771,2875.667,9045224.75423,0,2024-04-21 13:05:59.999,2024-04-21 13:05:59.999,13:05,1
786,1713704760000,3147.15,3149.99,3147.05,3149.1,1998.093,1713704819999,6291092.47997,3549,1411.125,4442927.68385,0,2024-04-21 13:06:59.999,2024-04-21 13:06:59.999,13:06,1
787,1713704820000,3149.1,3152.16,3147.17,3148.66,3291.257,1713704879999,10367724.51119,4238,2261.883,7125426.91377,0,2024-04-21 13:07:59.999,2024-04-21 13:07:59.999,13:07,1
788,1713704880000,3148.64,3151.72,3148.3,3148.31,1605.38,1713704939999,5057501.97657,1984,1176.398,3706307.94613,0,2024-04-21 13:08:59.999,2024-04-21 13:08:59.999,13:08,1
789,1713704940000,3148.31,3151.62,3148.31,3151.45,1085.494,1713704999999,3419679.19133,2465,647.459,2039810.39109,0,2024-04-21 13:09:59.999,2024-04-21 13:09:59.999,13:09,1
790,1713705000000,3151.45,3152.0,3150.47,3151.93,619.647,1713705059999,1952640.10714,1207,391.091,1232404.03663,0,2024-04-21 13:10:59.999,2024-04-21 13:10:59.999,13:10,1
791,1713705060000,3151.92,3155.96,3150.97,3154.68,1637.022,1713705119999,5162556.44592,3055,1268.786,4001400.03969,0,2024-04-21 13:11:59.999,2024-04-21 13:11:59.999,13:11,1
792,1713705120000,3154.67,3157.77,3154.67,3155.89,1629.037,1713705179999,5141371.47437,3343,1065.299,3362169.62083,0,2024-04-21 13:12:59.999,2024-04-21 13:12:59.999,13:12,1
